Var1	Var2	None
v_lines_x	circle_y	8.051279e-02
v_lines_x	dino_y	8.593043e-01
v_lines_x	dots_y	7.225440e-01
v_lines_x	h_lines_y	4.218916e-01
v_lines_x	high_lines_y	8.723736e-01
v_lines_x	slant_down_y	3.602235e-01
v_lines_x	slant_up_y	6.568598e-01
v_lines_x	star_y	3.125777e-01
v_lines_x	v_lines_y	3.006178e-02
v_lines_x	wide_lines_y	6.977048e-01
v_lines_x	x_shape_y	6.771535e-02
wide_lines_x	x_shape_x	6.319276e-01
wide_lines_x	away_y	6.624727e-01
wide_lines_x	bullseye_y	6.168196e-01
wide_lines_x	circle_y	2.735516e-01
wide_lines_x	dino_y	5.467988e-01
wide_lines_x	dots_y	5.030386e-01
wide_lines_x	h_lines_y	9.680105e-01
wide_lines_x	high_lines_y	8.440765e-01
wide_lines_x	slant_down_y	4.777637e-02
wide_lines_x	slant_up_y	8.869779e-03
wide_lines_x	star_y	3.544071e-01
wide_lines_x	v_lines_y	2.923713e-01
wide_lines_x	wide_lines_y	9.878240e-03
wide_lines_x	x_shape_y	4.883959e-01
x_shape_x	away_y	7.815866e-01
x_shape_x	bullseye_y	2.019551e-01
x_shape_x	circle_y	5.753596e-01
x_shape_x	dino_y	1.155657e-01
x_shape_x	dots_y	5.069683e-01
x_shape_x	h_lines_y	4.512295e-02
x_shape_x	high_lines_y	5.971894e-01
x_shape_x	slant_down_y	7.533223e-01
x_shape_x	slant_up_y	2.342494e-01
x_shape_x	star_y	6.057179e-02
x_shape_x	v_lines_y	5.045780e-01
x_shape_x	wide_lines_y	6.041819e-01
x_shape_x	x_shape_y	4.999975e-06
away_y	bullseye_y	1.187453e-01
away_y	circle_y	3.693989e-01
away_y	dino_y	7.861987e-01
away_y	dots_y	6.686939e-01
away_y	h_lines_y	6.886151e-01
away_y	high_lines_y	9.969578e-01
away_y	slant_down_y	3.428264e-01
away_y	slant_up_y	8.694327e-01
away_y	star_y	4.760650e-01
away_y	v_lines_y	1.695159e-01
away_y	wide_lines_y	9.805150e-01
away_y	x_shape_y	1.308423e-01
bullseye_y	circle_y	9.347055e-01
bullseye_y	dino_y	2.274509e-01
bullseye_y	dots_y	3.142950e-01
bullseye_y	h_lines_y	8.918134e-01
bullseye_y	high_lines_y	9.304781e-01
bullseye_y	slant_down_y	8.393596e-01
bullseye_y	slant_up_y	3.199328e-02
bullseye_y	star_y	2.964921e-01
bullseye_y	v_lines_y	9.326925e-01
bullseye_y	wide_lines_y	9.384428e-01
bullseye_y	x_shape_y	6.071520e-01
circle_y	dino_y	8.853108e-01
circle_y	dots_y	3.648631e-01
circle_y	h_lines_y	6.208630e-01
circle_y	high_lines_y	7.584402e-01
circle_y	slant_down_y	7.242208e-01
circle_y	slant_up_y	6.549039e-01
circle_y	star_y	5.963208e-01
circle_y	v_lines_y	5.963894e-01
circle_y	wide_lines_y	6.003601e-01
circle_y	x_shape_y	1.302150e-01
dino_y	dots_y	8.779168e-01
dino_y	h_lines_y	2.830513e-01
dino_y	high_lines_y	5.707833e-01
dino_y	slant_down_y	4.054925e-01
dino_y	slant_up_y	4.229891e-01
dino_y	star_y	3.587347e-01
dino_y	v_lines_y	5.085088e-01
dino_y	wide_lines_y	6.013109e-01
dino_y	x_shape_y	7.547353e-02
dots_y	h_lines_y	5.829218e-01
dots_y	high_lines_y	7.359431e-01
dots_y	slant_down_y	7.471313e-01
dots_y	slant_up_y	2.391056e-01
dots_y	star_y	1.356306e-01
dots_y	v_lines_y	4.666530e-01
dots_y	wide_lines_y	1.483886e-01
dots_y	x_shape_y	7.869756e-01
h_lines_y	high_lines_y	9.265093e-01
h_lines_y	slant_down_y	5.297188e-01
h_lines_y	slant_up_y	3.095827e-01
h_lines_y	star_y	2.252618e-02
h_lines_y	v_lines_y	4.429879e-01
h_lines_y	wide_lines_y	7.881742e-01
h_lines_y	x_shape_y	1.498378e-01
high_lines_y	slant_down_y	1.114644e-01
high_lines_y	slant_up_y	4.666457e-01
high_lines_y	star_y	4.381826e-02
high_lines_y	v_lines_y	6.046052e-01
high_lines_y	wide_lines_y	3.445828e-01
high_lines_y	x_shape_y	1.902390e-01
slant_down_y	slant_up_y	8.998711e-01
slant_down_y	star_y	8.039238e-01
slant_down_y	v_lines_y	4.366287e-01
slant_down_y	wide_lines_y	5.065783e-01
slant_down_y	x_shape_y	1.165679e-01
slant_up_y	star_y	4.652362e-01
slant_up_y	v_lines_y	8.296748e-02
slant_up_y	wide_lines_y	1.770170e-02
slant_up_y	x_shape_y	4.120532e-01
star_y	v_lines_y	8.391001e-01
star_y	wide_lines_y	2.340286e-01
star_y	x_shape_y	2.149656e-01
v_lines_y	wide_lines_y	2.245367e-01
v_lines_y	x_shape_y	2.918407e-01
wide_lines_y	x_shape_y	1.447344e-02
