img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,mic,tic,corr
img_5_bw,img_5_noise_high,full,0.39968182627671506,0.09675379995317412,,,,0.10940385939269963,784.1914704839663,0.42792847545809687
img_5_bw,img_5_noise_high,fast,0.5924110742132244,633.6940506425843,,,,0.4851368128844357,16.70840922828887,0.3979610809850158
img_5_noise_low,img_5_noise_low,full,0.9999999999999294,0.1733865927313016,,,,1.0000000000000038,13344.90495974687,1.0
img_5_noise_low,img_5_noise_low,fast,1.0,1062.1878591632983,,,,1.0000000000000002,41.31890990619382,1.0
img_5_noise_low,img_5_noise_mid,full,0.5477605091456704,0.11264002479442276,,,,0.2159292741391286,1557.5317613704249,0.5713420343715669
img_5_noise_low,img_5_noise_mid,fast,0.8488605588153167,1046.0595007831678,,,,0.9936507116910405,37.75192416106444,0.8165626108907786
img_5_noise_low,img_5_noise_high,full,0.3708691405518667,0.09136762737948041,,,,0.0974265709436692,678.4401072886899,0.39375389735314364
img_5_noise_low,img_5_noise_high,fast,0.8610107442189263,1067.1250204207347,,,,0.9517770194406904,35.2341846941448,0.8334432020856598
img_5_noise_mid,img_5_noise_mid,full,1.0000000000000266,0.24388692918838836,,,,1.0000000000000038,13344.90495974687,0.9999999999999998
img_5_noise_mid,img_5_noise_mid,fast,1.0,1429.6796424420825,,,,1.0000000000000002,41.33220472772672,1.0
img_5_noise_mid,img_5_noise_high,full,0.2452712559790387,0.07166462144490346,,,,0.041816032679079775,303.60384594999095,0.263532784730075
img_5_noise_mid,img_5_noise_high,fast,0.993939383549896,1429.1747385214567,,,,0.9220432114690502,36.07186739451764,0.9953887665336119
img_5_noise_high,img_5_noise_high,full,1.0000000000000784,0.35004815001529355,,,,1.0000000000000038,13344.90495974687,1.0
img_5_noise_high,img_5_noise_high,fast,1.0,1446.145966488322,,,,1.0000000000000002,41.34374593224586,1.0
img_6_bw,img_6_bw,full,0.9952533128894158,0.09521744518025069,,,,0.9999997312770903,13347.98964663558,0.9999999999999997
img_6_bw,img_6_bw,fast,1.0,1124.5182704109222,,,,1.0000000000000002,41.32732855861552,0.9999999999999999
img_6_bw,img_6_noise_low,full,0.7887639148446502,0.08203197782574151,,,,0.46404408588450685,3878.726908093832,0.8235082029647802
img_6_bw,img_6_noise_low,fast,0.8364199996642222,1049.0889029866194,,,,0.6581050704084462,25.061109336416635,0.8083753753857275
img_6_bw,img_6_noise_mid,full,0.3942177098388046,0.056001502703009715,,,,0.10383793026605213,785.7751350267245,0.43455482669420364
img_6_bw,img_6_noise_mid,fast,0.7422236346766974,957.6194078643067,,,,0.5589867396520941,19.664633095343333,0.7473235819393473
img_6_bw,img_6_noise_high,full,0.24718452526944099,0.04388469329400429,,,,0.04191732955610297,312.1477313045076,0.2788433124988367
img_6_bw,img_6_noise_high,fast,0.7819067648843019,1006.5587680958204,,,,0.5841668583292088,21.59384790955668,0.7710112285129024
img_6_noise_low,img_6_noise_low,full,0.9999999999999213,0.11305490386584235,,,,1.0000000000000038,13344.90495974687,1.0
img_6_noise_low,img_6_noise_low,fast,1.0,1398.972743219189,,,,1.0000000000000002,41.33007577002785,1.0
img_6_noise_low,img_6_noise_mid,full,0.3256778909045303,0.05029271522541831,,,,0.07128513524113067,530.4176290559261,0.35707435711433555
img_6_noise_low,img_6_noise_mid,fast,0.953043819576036,1371.4892175926138,,,,0.8019886105925368,31.18399579346922,0.9642448373822932
img_6_noise_low,img_6_noise_high,full,0.20803396939085614,0.040149422293706806,,,,0.029800983955188615,217.63870306190967,0.2301108666229428
img_6_noise_low,img_6_noise_high,fast,0.984688957574777,1413.8541209344785,,,,0.9042689347855093,34.72854602244762,0.9887612580467386
img_6_noise_mid,img_6_noise_mid,full,1.0000000000000642,0.21093284361387454,,,,1.0000000000000038,13344.90495974687,1.0
img_6_noise_mid,img_6_noise_mid,fast,1.0,1480.3002194604678,,,,1.0000000000000002,41.349098043359,1.0
img_6_noise_mid,img_6_noise_high,full,0.10794568190213977,0.028456253449819603,,,,0.009115222009706098,66.24581548247161,0.12089970098507744
img_6_noise_mid,img_6_noise_high,fast,0.9849243214658192,1454.7175272047452,,,,0.9137336481562635,35.62080405766734,0.9865419839938312
img_6_noise_high,img_6_noise_high,full,0.9999999999999662,0.3294584757568134,,,,1.0000000000000038,13344.90495974687,1.0
img_6_noise_high,img_6_noise_high,fast,1.0,1473.6753376731087,,,,1.0000000000000002,41.32603238571484,1.0
img_7_bw,img_7_bw,full,0.9995521395975202,0.17237750379045688,,,,0.9999999998320471,13345.609730419555,1.0
img_7_bw,img_7_bw,fast,1.0,718.718020287015,,,,0.9999861288309188,41.326544412183836,0.9999999999999998
img_7_bw,img_7_noise_low,full,0.9156922630799141,0.16102665540909122,,,,0.6413896761832407,6087.3382874282,0.9273429922818538
img_7_bw,img_7_noise_low,fast,0.5602863102001938,489.60325708345437,,,,0.376830415644059,12.991306366703922,0.5244474870151482
img_7_bw,img_7_noise_mid,full,0.6073612471252016,0.12582809322256602,,,,0.2530893650126143,1956.74050382664,0.6379525677872488
img_7_bw,img_7_noise_mid,fast,0.4145542179805865,416.14808883130405,,,,0.3112955692762708,9.255264689678748,0.35118927560646285
img_7_bw,img_7_noise_high,full,0.41571123156278383,0.10265769749887996,,,,0.11534297868314286,851.131763711838,0.44566313905273597
img_7_bw,img_7_noise_high,fast,0.4222874955243043,430.59397712995576,,,,0.2811670432060283,8.628068304480562,0.3518361332309072
img_7_noise_low,img_7_noise_low,full,0.9999999999999051,0.17931694092860584,,,,1.0000000000000038,13344.90495974687,1.0
img_7_noise_low,img_7_noise_low,fast,1.0,1062.4537656890877,,,,1.0000000000000002,41.324973525622525,1.0
img_7_noise_low,img_7_noise_mid,full,0.5652994668568053,0.11942141333669762,,,,0.22837264978944988,1685.5538823996922,0.5915527418906217
img_7_noise_low,img_7_noise_mid,fast,0.830159469643917,1013.2202139856855,,,,0.9840471637045684,36.58459640699764,0.8172845126121457
img_7_noise_low,img_7_noise_high,full,0.386132913878941,0.09723210251658546,,,,0.10330731217524883,739.2606847495766,0.41187395604967947
img_7_noise_low,img_7_noise_high,fast,0.8138356952774177,1008.9559753670662,,,,0.9999559719934967,37.019719830754255,0.7943973465800823
img_7_noise_mid,img_7_noise_mid,full,0.9999999999999596,0.24887767460159094,,,,1.0000000000000038,13344.90495974687,1.0
img_7_noise_mid,img_7_noise_mid,fast,1.0,1402.08582384385,,,,1.0000000000000002,41.333900919241565,0.9999999999999999
img_7_noise_mid,img_7_noise_high,full,0.26474414874897734,0.07853830683238829,,,,0.04756484894038178,352.1568884095362,0.28504577397689146
img_7_noise_mid,img_7_noise_high,fast,0.9979581104498947,1421.2814030861311,,,,0.9760396646627625,38.8288924498149,0.9977839531188748
img_7_noise_high,img_7_noise_high,full,1.0000000000001479,0.35360987742166916,,,,1.0000000000000038,13344.90495974687,1.0
img_7_noise_high,img_7_noise_high,fast,1.0,1446.6415167221435,,,,1.0000000000000002,41.33635823738528,1.0
img_8_bw,img_8_bw,full,1.0046259009801317,0.0897173818414584,,,,0.9999999999813382,13347.457412155312,1.0
img_8_bw,img_8_bw,fast,1.0,1148.4849761999308,,,,1.0000000000000002,41.32308977894865,1.0
img_8_bw,img_8_noise_low,full,0.7787707075044367,0.07756027866079843,,,,0.3977243562880879,3788.4898462279452,0.8306499024441598
img_8_bw,img_8_noise_low,fast,0.8825835081436217,1136.0934565389898,,,,0.7701873185515692,28.725569942412193,0.8785301269618924
img_8_bw,img_8_noise_mid,full,0.39610094503065574,0.054467695177136545,,,,0.0970352761277511,794.9249021772353,0.4434031238614839
img_8_bw,img_8_noise_mid,fast,0.8412662271915179,1106.621078340896,,,,0.8066639490736414,29.437038691134063,0.8174510940006471
img_8_bw,img_8_noise_high,full,0.25499011925798215,0.043799854624685546,,,,0.04109304058833589,323.97233205568375,0.2868992812258505
img_8_bw,img_8_noise_high,fast,0.8558289911824108,1126.4900319045687,,,,0.7475589462124519,28.63158406005678,0.8368399839304266
img_8_noise_low,img_8_noise_low,full,1.000000000000054,0.1110675739145182,,,,1.0000000000000038,13344.90495974687,0.9999999999999997
img_8_noise_low,img_8_noise_low,fast,1.0,1442.7503307883683,,,,1.0000000000000002,41.33105009558341,1.0
img_8_noise_low,img_8_noise_mid,full,0.3246731995484895,0.04978942297153992,,,,0.06694574823448753,543.3492542095311,0.36802334681119003
img_8_noise_low,img_8_noise_mid,fast,0.9624471671751487,1418.9768637467448,,,,0.9304025418033771,36.21979542095046,0.959050998326205
img_8_noise_low,img_8_noise_high,full,0.20969457100899624,0.04016927896004113,,,,0.029047867716931467,227.9924607593967,0.2384133070489326
img_8_noise_low,img_8_noise_high,fast,0.9800102157364039,1445.7855968235094,,,,0.9998238825988727,39.005914173434455,0.9773000443071542
