img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,img
img_2_bw,img_2_noise_high,hist,0.5975268685192974,764.9737407962541,0.5128528537943867,18.903961432173496,0.4946957349468557,2
img_2_noise_low,img_2_noise_low,full,0.9999999999998768,0.1155862107610024,1.0000000000000038,13344.90495974687,1.0,2
img_2_noise_low,img_2_noise_low,hist,1.0,1409.1262317692135,1.0000000000000002,41.31647271907814,1.0,2
img_2_noise_low,img_2_noise_mid,full,0.3438820934217612,0.0540273146574084,0.0738940872773456,600.0027700359483,0.3848830442678865,2
img_2_noise_low,img_2_noise_mid,hist,0.946514165427785,1365.876785177962,0.9676615524396944,36.83918437551366,0.9478235016168368,2
img_2_noise_low,img_2_noise_high,full,0.2198560471056191,0.0430259133626423,0.0313714857611748,244.8739873658347,0.2472893633445506,2
img_2_noise_low,img_2_noise_high,hist,0.8245121099921366,1169.5516540585736,0.8110410637207217,30.38738435167664,0.8180262753998717,2
img_2_noise_mid,img_2_noise_mid,full,1.000000000000009,0.2135510022096413,1.0000000000000038,13344.90495974687,1.0,2
img_2_noise_mid,img_2_noise_mid,hist,1.0,1477.811057758163,1.0000000000000002,41.35101122265313,0.9999999999999998,2
img_2_noise_mid,img_2_noise_high,full,0.1214135615043982,0.0322965903902479,0.011182477518441,82.55383143363198,0.1360592591214214,2
img_2_noise_mid,img_2_noise_high,hist,0.9455411382589076,1373.527324636613,0.8554503493259508,32.785087208597126,0.9483684959015712,2
img_2_noise_high,img_2_noise_high,full,0.9999999999999818,0.3313426486617056,1.0000000000000038,13344.90495974687,0.9999999999999998,2
img_2_noise_high,img_2_noise_high,hist,1.0,1427.8902821261015,1.0000000000000002,41.32988582463672,1.0,2
img_3_bw,img_3_bw,full,1.0035096218944306,0.0978366858387551,0.9999999999999994,13345.777306203729,1.0,3
img_3_bw,img_3_bw,hist,1.0,1205.149701659259,1.0000000000000002,41.31581828093452,1.0,3
img_3_bw,img_3_noise_low,full,0.7946977933072183,0.0838144223907467,0.4592801208295852,3948.0142268194095,0.830281059202683,3
img_3_bw,img_3_noise_low,hist,0.7360566088971827,979.4504161768808,0.7064701867164938,24.953567281796133,0.6612231593528948,3
img_3_bw,img_3_noise_mid,full,0.4036214380168244,0.0579754489039648,0.1054406606150632,816.1025033112477,0.4439288137206039,3
img_3_bw,img_3_noise_mid,hist,0.5574715623783587,752.532462990738,0.580474780366317,20.14981604525241,0.4419500074451542,3
img_3_bw,img_3_noise_high,full,0.2548421883778214,0.045701432076511,0.0424063069512492,320.5058289581642,0.2826509791112707,3
img_3_bw,img_3_noise_high,hist,0.4848259704264954,644.4446972915081,0.4989359487364102,16.660623188745532,0.3544447259098047,3
img_3_noise_low,img_3_noise_low,full,0.9999999999999178,0.1140915044202591,1.0000000000000038,13344.90495974687,1.0,3
img_3_noise_low,img_3_noise_low,hist,1.0,1469.2695551570168,1.0000000000000002,41.332763368039146,1.0,3
img_3_noise_low,img_3_noise_mid,full,0.3355914965142774,0.0521455677084521,0.0734197330948583,561.7758318308668,0.3697503127875305,3
img_3_noise_low,img_3_noise_mid,hist,0.8763421937528858,1306.1903914951054,0.8341456843942353,32.27807650143119,0.8661774633869312,3
img_3_noise_low,img_3_noise_high,full,0.2112214104368092,0.0409763224909985,0.030076489158981,224.60286491427243,0.2339872953726683,3
img_3_noise_low,img_3_noise_high,hist,0.7889540475434351,1157.9284610026675,0.7547255921408952,28.37393450520732,0.7673281527807811,3
img_3_noise_mid,img_3_noise_mid,full,0.9999999999999246,0.2116214070091425,1.0000000000000038,13344.90495974687,1.0,3
img_3_noise_mid,img_3_noise_mid,hist,1.0,1512.0426621966394,1.0000000000000002,41.36411762687269,1.0,3
img_3_noise_mid,img_3_noise_high,full,0.1112180002848619,0.0293848358038266,0.0097993973911577,70.69635438519789,0.1247909291837309,3
img_3_noise_mid,img_3_noise_high,hist,0.975694160169922,1452.6968954016622,0.9019430369309818,34.9636817101328,0.9776521827550811,3
img_3_noise_high,img_3_noise_high,full,1.0000000000000129,0.3298654080205672,1.0000000000000038,13344.90495974687,1.0,3
img_3_noise_high,img_3_noise_high,hist,1.0,1466.083009172276,1.0000000000000002,41.35089360861839,1.0,3
img_4_bw,img_4_bw,full,0.9983568137639424,0.1147294367896692,0.9999999999999976,13345.804964770929,1.0,4
img_4_bw,img_4_bw,hist,1.0,1016.8710331594734,1.0000000000000002,41.31934775047037,0.9999999999999998,4
img_4_bw,img_4_noise_low,full,0.8420805872495092,0.1032859369733146,0.4791382482578162,4648.757761592376,0.8846526174664653,4
img_4_bw,img_4_noise_low,hist,0.5717386460224321,674.8635652359106,0.4128682915103582,14.54656366504872,0.5734459989751712,4
img_4_bw,img_4_noise_mid,full,0.4804952669770964,0.0769703358753611,0.1436096802967043,1201.162206854899,0.5347901327515037,4
img_4_bw,img_4_noise_mid,hist,0.3100507945515066,381.70172217790594,0.3317084177045576,10.738550257596351,0.2118008100251371,4
img_4_bw,img_4_noise_high,full,0.3142864724250073,0.0619390819758783,0.0612437260288473,496.46955691449,0.3538213842898557,4
img_4_bw,img_4_noise_high,hist,0.3402878968674356,423.4563842179909,0.3801417278085845,12.369903638818176,0.2517196058275798,4
img_4_noise_low,img_4_noise_low,full,1.000000000000035,0.1309139723324074,1.0000000000000038,13344.90495974687,1.0,4
img_4_noise_low,img_4_noise_low,hist,1.0,1370.1590704657788,1.0000000000000002,41.3222706568173,1.0,4
img_4_noise_low,img_4_noise_mid,full,0.421587702666717,0.0720809770469738,0.113461584989424,938.6026787894824,0.4735432249321215,4
img_4_noise_low,img_4_noise_mid,hist,0.8165966892662878,1166.947835020792,0.899327503623011,33.4196916971912,0.806267274788414,4
img_4_noise_low,img_4_noise_high,full,0.2769142086778869,0.0582482361643299,0.0491817358051019,397.522877845556,0.3132313525924169,4
img_4_noise_low,img_4_noise_high,hist,0.8452663420382165,1220.9793394628557,0.9652016987500648,34.06664096079785,0.8354465346980703,4
img_4_noise_mid,img_4_noise_mid,full,0.9999999999998864,0.2232952372340177,1.0000000000000038,13344.90495974687,1.0,4
img_4_noise_mid,img_4_noise_mid,hist,1.0,1490.447440234448,1.0000000000000002,41.33765178552453,1.0,4
img_4_noise_mid,img_4_noise_high,full,0.1663906204135455,0.0457101987012791,0.0202089579320051,155.60666246715078,0.1883796786292647,4
img_4_noise_mid,img_4_noise_high,hist,0.9967156629261044,1501.6159060317498,0.9331781149026102,36.71037119241933,0.9973849174821444,4
img_4_noise_high,img_4_noise_high,full,0.9999999999999728,0.3379785016345071,1.0000000000000038,13344.90495974687,1.0,4
img_4_noise_high,img_4_noise_high,hist,1.0,1522.8547711427018,1.0000000000000002,41.35996373840641,1.0,4
img_5_bw,img_5_bw,full,0.9994462949281416,0.1673165629824051,0.9999999999823388,13345.981411340945,0.9999999999999996,5
img_5_bw,img_5_bw,hist,1.0,791.2264415210217,0.9999861288309188,41.32654441218384,1.0,5
img_5_bw,img_5_noise_low,full,0.9109356955195778,0.1551976756920711,0.6606560777046087,5964.119189321949,0.9207401917274178,5
img_5_bw,img_5_noise_low,hist,0.7182680925183156,658.4724922278468,0.5611082351709479,19.660937093124616,0.5710684914572615,5
img_5_bw,img_5_noise_mid,full,0.5913546564049128,0.1194901261910343,0.2450974873505296,1833.015264129612,0.620027648986105,5
img_5_bw,img_5_noise_mid,hist,0.5687017001364872,604.8591980318175,0.5494614251646006,17.93655324496748,0.3696673743779929,5
img_5_bw,img_5_noise_high,full,0.399681826276715,0.0967537999531741,0.1094038593926996,784.1914704839663,0.4279284754580968,5
img_5_bw,img_5_noise_high,hist,0.5924110742132244,633.6940506425843,0.4851368128844357,16.70840922828887,0.3979610809850158,5
img_5_noise_low,img_5_noise_low,full,0.9999999999999294,0.1733865927313016,1.0000000000000038,13344.90495974687,1.0,5
