,n_image,lambda_full,dcor_full,dcov_full,mic_full,tic_full,pearson_full,lambda_hist,dcor_hist,dcov_hist,mic_hist,tic_hist,pearson_hist,lambda_grid,dcor_grid,dcov_grid,mic_grid,tic_grid,pearson_grid
10,11,1.0239823580018967,1.001082613171642,0.11148528908519838,0.9999999972448516,13349.8647601857,0.9999710146325057,0.11592143819895474,1.0234253659735633,0.08179388149300248,0.9999999972448516,13349.803626731346,0.9175962497442585,0.8650773195194381,0.9985678423684726,0.11265396351581326,0.9999999972448516,13349.858349842347,0.999063410896782
11,12,1.581036525788231,1.0014019162609298,0.11613660291952596,0.9999999997014181,13347.483815629112,0.99137263307076,0.24166507792649233,0.9972794678937779,0.07027432253338663,0.9999999997014181,13347.455576387587,0.9386406044058587,4.491093171001908,0.9085709424961357,0.0983571763702129,0.9999999997014181,13347.48267868116,0.8225156927492051
12,13,0.4101592468981841,0.9889141532770678,0.10359910537481418,0.9999999984884314,13345.550876556914,0.9764256811087173,0.3245628150017761,0.9879774399853269,0.09647261456883485,0.9999999984884314,13345.540500076648,0.9640297945040737,0.6611472645976832,0.9981306177414635,0.11880149627380779,0.9999999984884314,13345.549579336564,0.9939771001496425
13,14,0.5805477210534767,0.9988925288693535,0.12215441515166173,0.9999999819480409,13345.927746614803,0.9906780051390636,0.43452799555743454,0.9935234554512186,0.11433781270180596,0.9999999819480409,13345.918842820705,0.98080300206712,-0.02742034029736612,0.9834869183168983,0.061525566941398734,0.9999999819480409,13345.888893212603,0.76551474480744
14,15,0.29423867639123763,0.9879934431151204,0.18407686712992266,0.9999999945780621,13346.307533867834,0.9625541223861063,0.20854843417249141,0.9860030618381496,0.16634000773890706,0.9999999999470165,13346.303376664062,0.9457859825197573,131.26892936202626,0.2818603641944008,0.02341666553078329,0.7157143569120502,6323.154158860139,0.26048586624674713
15,16,0.5403409321823843,1.0000795492352572,0.0965838957897339,0.9999999925354743,13346.572574417238,0.9887208963312052,0.28928271491128726,0.9837674631580312,0.08013786248542011,0.9999999925354743,13346.56616818034,0.9577381078821646,0.8493266569064605,0.9994654299672882,0.10408908135756315,0.9999999925354743,13346.566072185855,0.9990039185633923
16,17,0.5030973283882897,0.9912845029564052,0.13154416454809983,0.9999999993281916,13347.228157249425,0.9837481326254083,0.29800906166849017,0.9833446285575835,0.11908832031327908,0.9999999993281916,13347.227614386074,0.9664750006532564,0.921574031138539,0.999422251775711,0.13429346263221076,0.9999999993281916,13347.228485127167,0.9996310093235403
17,18,0.25303785808663304,0.9891488643812497,0.07014494284226766,0.9999999999999976,13345.426192772284,0.9535303781348333,0.08104092016220839,0.9574231322538903,0.05397350669169949,0.9999999999999976,13345.40922264766,0.9284756697295499,0.3620690745532394,0.9911497972403356,0.07621400010787553,0.9999999999999976,13345.445593125827,0.9665361819021887
18,19,0.4831698438737146,0.9978426215487661,0.09883713808875418,0.9999999547059651,13345.929370541815,0.9885274934232187,0.31956373228397894,0.9884159661102448,0.0862495506943763,0.9999999547059651,13345.929382342472,0.9787384172397982,1.6562066920370913,0.9952978907466974,0.11757014976745273,0.9999999547059651,13345.937895379942,0.9876265892534912
19,20,0.984876370179488,1.0002711911711923,0.28798702609371923,0.9999999988056744,13286.621825104403,0.9999950057204319,0.05084710547640066,0.9965805476873953,0.1298926169607504,0.9999999988056744,13286.618260701656,0.8923777014583247,1858.4659887149458,0.3824131498056588,0.09660733407670682,0.856817746925247,7675.762112167499,0.3634659901068465
