,n_image,lambda,dcor,dcov,mic,tic,pearson
25,1,3.333333333333332,0.9690407668762087,0.076459341559882,0.9999999932711469,13346.38068481252,0.8990847550422019
26,1,3.666666666666666,0.9604748196757443,0.0705523059944553,0.9999999932711469,13346.380762256398,0.8706934284216722
27,1,4.0,0.9525404918828171,0.06507769517009777,0.9999999932711469,13346.378812934603,0.839025882361542
28,1,4.333333333333332,0.9431859481321997,0.059857887586631395,0.9999999932711469,13346.37833403628,0.8043103574604729
29,1,4.666666666666666,0.9343593501316996,0.055093817304736746,0.9999999932711469,13346.380038002011,0.7669326940466044
30,1,5.0,0.9240821072543721,0.050610223666854,0.9999999932711469,13346.369527116707,0.7274419363173378
31,2,-5.0,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
32,2,-4.666666666666667,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
33,2,-4.333333333333333,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
34,2,-4.0,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
35,2,-3.666666666666667,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
36,2,-3.3333333333333335,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
37,2,-3.0,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
38,2,-2.666666666666667,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
39,2,-2.3333333333333335,0.16452482520735792,0.0018332936710026397,0.020393135236083576,186.25965363230094,0.17057910953780192
40,2,-2.0,0.16469060661158474,0.001835115956512695,0.020461756756047715,184.59948374951082,0.17057910960844774
41,2,-1.666666666666667,0.10704982650989102,0.0011928424229695458,0.8335564661470918,6577.08843437535,0.17057981186439675
42,2,-1.3333333333333335,0.19578082036903371,0.0021818899542752467,0.9555154070819957,10422.923438051328,0.17058765213179747
43,2,-1.0,0.243451959752132,0.0027126553283702403,0.9999800248804148,13268.520807771845,0.170762715639312
44,2,-0.666666666666667,0.8108313334998368,0.008979141471472935,0.9999999983928785,13347.827406003664,0.17420675801005303
45,2,-0.3333333333333339,2.239502091014053,0.025616221180584417,0.9999999995231513,13350.620430851302,0.22694640896838658
46,2,0.0,0.8364759881667333,0.014865140128076524,0.9999999995231513,13350.626320506077,0.5873338896487592
47,2,0.33333333333333304,1.0028411160497228,0.027930941640426258,0.9999999995231513,13350.627156335957,0.9234792076784584
48,2,0.6666666666666661,1.0387691551584528,0.032727696037432315,0.9999999995231513,13350.627370917106,0.988360527673489
49,2,1.0,1.0047235322242238,0.03197067173887952,0.9999999995231513,13350.627813931513,0.9999999999999523
50,2,1.333333333333333,0.9993720392123936,0.030297897087817865,0.9999999995231513,13350.627815929138,0.9917052042560996
51,2,1.666666666666666,0.9578712294719103,0.027021305222041214,0.9999999995231513,13350.629041390039,0.9703407184106929
52,2,2.0,0.9919593743245775,0.025934016288030822,0.9999999995231513,13350.628528369303,0.9403851895789557
53,2,2.333333333333333,0.9760067871689526,0.023415101912149978,0.9999999995231513,13350.629357866326,0.9057826772077979
54,2,2.666666666666666,0.9595075680085162,0.02123715020378306,0.9999999995231513,13350.62675034313,0.8697052042753668
55,2,3.0,0.9245780085544992,0.018918003369016646,0.9999999995231513,13350.628760740512,0.834367815467493
56,2,3.333333333333332,0.8915161739504783,0.01696031088346992,0.9999999995231513,13350.628276458008,0.8010959526318436
57,2,3.666666666666666,0.8609883536854714,0.015339265166497952,0.9999999995231513,13350.626351328016,0.7705303421664804
58,2,4.0,0.8260467840298035,0.013891904058625448,0.9999999995231513,13350.626781660554,0.7428521116285506
59,2,4.333333333333332,0.7907444545280699,0.012631874223155714,0.9999999995231513,13350.624319734265,0.7179689064095596
60,2,4.666666666666666,0.7530046066975093,0.011472333398062176,0.9999999995231513,13350.622886336721,0.6956473074743305
61,2,5.0,0.7195110734347845,0.010508566160870392,0.9999999995231517,13350.617799177093,0.675597529523371
